store_id,store_large_region,store_small_region,store_name,theme_name,theme_genre,theme_is_scared,theme_level,theme_time,theme_max_number,store_is_closed,store_closed_days,theme_review_cnt,theme_score,theme_is_singleplay,number_is_two,number_is_three,number_is_four,number_is_five,theme_type,theme_poster_url,store_site_url,theme_reserve_url,themeId
1,서울,강남,넥스트에디션 강남1호점,메모리 에피소드 1,스릴러,1,3,60,4,0,,466,6.92,0,1,1,1,0,복합,https://next-edition.s3.amazonaws.com/theme/title_image_url/MEMORY%20-%20Episode%201/theme__%E1%84%86%E1%85%A6%E1%84%86%E1%85%A9%E1%84%85%E1%85%B5-%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5-%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A9%E1%86%BC_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__MEMORY%20-%20Episode%201.jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,1
1,서울,강남,넥스트에디션 강남1호점,완전한 사랑(리뉴얼),로맨스,0,3,60,4,0,,540,6.56,0,1,1,1,0,자물쇠,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%99%84%EC%A0%84%ED%95%9C%EC%82%AC%EB%9E%91(%EB%A6%AC%EB%89%B4%EC%96%BC)/theme__%E1%84%8B%E1%85%AA%E1%86%AB%E1%84%8C%E1%85%A5%E1%86%AB%E1%84%92%E1%85%A1%E1%86%AB%E1%84%89%E1%85%A1%E1%84%85%E1%85%A1%E1%86%BC-%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EC%99%84%EC%A0%84%ED%95%9C%EC%82%AC%EB%9E%91(%EB%A6%AC%EB%89%B4%EC%96%BC).jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,2
1,서울,강남,넥스트에디션 강남1호점,흐린 날,감성/드라마,0,3,60,4,0,,490,6.34,0,1,1,1,0,자물쇠,https://next-edition.s3.amazonaws.com/theme/title_image_url/%ED%9D%90%EB%A6%B0%EB%82%A0/theme__%E1%84%92%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%82%E1%85%A1%E1%86%AF_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%ED%9D%90%EB%A6%B0%EB%82%A0.jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,3
1,서울,강남,넥스트에디션 강남1호점,카르텔,추리,0,4,70,5,0,,649,6.82,0,1,1,1,1,복합,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%B9%B4%EB%A5%B4%ED%85%94/theme__%E1%84%89%E1%85%B3%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%AB%E1%84%89%E1%85%A3%E1%86%BA_2019-03-11_%E1%84%8B%E1%85%A9%E1%84%92%E1%85%AE_1.01.28_%EC%B9%B4%EB%A5%B4%ED%85%94.jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,4
1,서울,강남,넥스트에디션 강남1호점,저니,감성/드라마,0,3,60,4,0,,327,6.01,0,1,1,1,0,복합,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%A0%80%EB%8B%88(JOURNEY)/theme__%E1%84%8C%E1%85%A5%E1%84%82%E1%85%B5_%E1%84%8E%E1%85%AC%E1%84%8C%E1%85%A9%E1%86%BC_%EC%A0%80%EB%8B%88(JOURNEY).jpg,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,https://www.nextedition.co.kr/shops/NextEdition%20Gangnam,5
2,서울,강남,넥스트에디션 강남2호점,중대장은 오늘 너희에게 무척 실망했다,추리,0,5,60,5,0,,639,6.75,0,1,1,1,1,자물쇠,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%A4%91%EB%8C%80%EC%9E%A5%EC%9D%80%20%EC%98%A4%EB%8A%98%20%EB%84%88%ED%9D%AC%EC%97%90%EA%B2%8C%20%EB%AC%B4%EC%B2%99%20%EC%8B%A4%EB%A7%9D%ED%96%88%EB%8B%A4./theme__%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%83%E1%85%A2%E1%84%8C%E1%85%A1%E1%86%BC_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EC%A4%91%EB%8C%80%EC%9E%A5%EC%9D%80%20%EC%98%A4%EB%8A%98%20%EB%84%88%ED%9D%AC%EC%97%90%EA%B2%8C%20%EB%AC%B4%EC%B2%99%20%EC%8B%A4%EB%A7%9D%ED%96%88%EB%8B%A4..jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,6
2,서울,강남,넥스트에디션 강남2호점,심판,감성/드라마,0,3,60,5,0,,425,6.43,0,1,1,1,1,복합,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%8B%AC%ED%8C%90/theme__%E1%84%89%E1%85%B5%E1%86%B7%E1%84%91%E1%85%A1%E1%86%AB_%EC%8B%AC%ED%8C%90.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,7
2,서울,강남,넥스트에디션 강남2호점,퀴즈 인 더 노블,추리,0,4,60,5,0,,488,6.38,0,1,1,1,1,자물쇠,https://next-edition.s3.amazonaws.com/theme/title_image_url/%ED%80%B4%EC%A6%88%20%EC%9D%B8%20%EB%8D%94%20%EB%85%B8%EB%B8%94%20(Quiz%20in%20The%20Noble)/theme__%E1%84%8F%E1%85%B1%E1%84%8C%E1%85%B3%E1%84%8B%E1%85%B5%E1%86%AB%E1%84%83%E1%85%A5%E1%84%82%E1%85%A9%E1%84%87%E1%85%B3%E1%86%AF_%ED%80%B4%EC%A6%88%20%EC%9D%B8%20%EB%8D%94%20%EB%85%B8%EB%B8%94%20(Quiz%20in%20The%20Noble).jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,8
2,서울,강남,넥스트에디션 강남2호점,커넥트,SF/판타지,0,2,60,5,0,,411,6.22,0,1,1,1,1,복합,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%BB%A4%EB%84%A5%ED%8A%B8%20(Connect)/theme__%E1%84%8F%E1%85%A5%E1%84%82%E1%85%A6%E1%86%A8%E1%84%90%E1%85%B3_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EC%BB%A4%EB%84%A5%ED%8A%B8%20(Connect).jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,9
2,서울,강남,넥스트에디션 강남2호점,마법소녀,모험/액션,0,5,70,5,0,,664,7.51,0,1,1,1,1,복합,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EB%A7%88%EB%B2%95%EC%86%8C%EB%85%80/theme__54689D95-8A6D-497A-A94C-6E73F9F163AD_%EB%A7%88%EB%B2%95%EC%86%8C%EB%85%80.jpg,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,https://www.nextedition.co.kr/shops/Nextedition%20Gangnam2,10
